,TeacherID,Content,Interaction,Communication,TimeManagement,OverallAverage,OverallEvaluation
160,161,2,4,4,2,3.0,Bad
161,162,3,5,5,4,4.25,Good
162,163,1,1,5,5,3.0,Bad
163,164,3,1,1,2,1.75,Bad
164,165,3,5,1,4,3.25,Bad
165,166,3,5,2,3,3.25,Bad
166,167,2,2,4,2,2.5,Bad
167,168,4,1,4,2,2.75,Bad
168,169,4,3,5,3,3.75,Good
169,170,2,3,3,3,2.75,Bad
170,171,5,4,3,2,3.5,Bad
171,172,1,3,3,1,2.0,Bad
172,173,1,2,1,2,1.5,Bad
173,174,2,1,4,1,2.0,Bad
174,175,1,4,4,5,3.5,Bad
175,176,1,2,4,3,2.5,Bad
176,177,3,5,2,4,3.5,Bad
177,178,1,3,3,4,2.75,Bad
178,179,5,3,5,2,3.75,Good
179,180,1,1,5,2,2.25,Bad
180,181,4,3,5,3,3.75,Good
181,182,2,1,4,4,2.75,Bad
182,183,3,2,2,4,2.75,Bad
183,184,5,2,4,3,3.5,Bad
184,185,5,4,4,3,4.0,Good
185,186,1,5,3,1,2.5,Bad
186,187,4,5,4,3,4.0,Good
187,188,1,2,3,1,1.75,Bad
188,189,3,1,2,5,2.75,Bad
189,190,2,1,3,4,2.5,Bad
190,191,2,5,1,2,2.5,Bad
191,192,3,4,2,5,3.5,Bad
192,193,1,4,5,4,3.5,Bad
193,194,2,4,2,2,2.5,Bad
194,195,5,3,2,3,3.25,Bad
195,196,5,4,5,1,3.75,Good
196,197,3,4,4,3,3.5,Bad
197,198,3,1,3,5,3.0,Bad
198,199,2,2,2,1,1.75,Bad
199,200,4,5,1,4,3.5,Bad
200,201,3,2,2,4,2.75,Bad
201,202,2,5,2,4,3.25,Bad
202,203,2,3,5,2,3.0,Bad
203,204,5,2,1,5,3.25,Bad
204,205,5,5,5,5,5.0,Very Good
205,206,5,3,4,3,3.75,Good
206,207,5,5,5,5,5.0,Very Good
207,208,1,3,2,4,2.5,Bad
208,209,2,3,2,3,2.5,Bad
209,210,5,4,2,4,3.75,Good
210,211,4,3,1,2,2.5,Bad
211,212,3,3,3,4,3.25,Bad
212,213,3,3,5,1,3.0,Bad
213,214,2,5,5,5,4.25,Good
214,215,4,2,3,5,3.5,Bad
215,216,2,1,5,4,3.0,Bad
216,217,2,2,5,2,2.75,Bad
217,218,4,1,4,4,3.25,Bad
218,219,4,4,5,4,4.25,Good
219,220,3,1,5,5,3.5,Bad
220,221,3,3,2,4,3.0,Bad
221,222,4,1,3,4,3.0,Bad
222,223,5,2,3,3,3.25,Bad
223,224,2,4,2,2,2.5,Bad
224,225,3,4,3,5,3.75,Good
225,226,2,5,5,2,3.5,Bad
226,227,2,5,4,3,3.5,Bad
227,228,4,5,3,2,3.5,Bad
228,229,2,3,3,3,2.75,Bad
229,230,5,4,2,3,3.5,Bad
230,231,5,5,3,1,3.5,Bad
231,232,4,1,5,2,3.0,Bad
232,233,4,3,2,4,3.25,Bad
233,234,3,4,1,4,3.0,Bad
234,235,3,1,5,1,2.5,Bad
235,236,3,3,4,4,3.5,Bad
236,237,5,1,4,2,3.0,Bad
237,238,3,3,2,3,2.75,Bad
238,239,4,3,3,4,3.5,Bad
239,240,3,1,4,1,2.25,Bad
240,241,1,5,2,2,2.5,Bad
241,242,2,3,5,4,3.5,Bad
242,243,5,4,3,4,4.0,Good
243,244,3,3,5,3,3.5,Bad
244,245,2,3,5,1,2.75,Bad
245,246,5,4,2,3,3.5,Bad
246,247,4,4,2,2,3.0,Bad
247,248,2,4,1,1,2.0,Bad
248,249,3,5,3,4,3.75,Good
249,250,4,3,3,2,3.0,Bad
250,251,3,3,4,4,3.5,Bad
251,252,2,2,1,4,2.25,Bad
252,253,4,1,1,4,2.5,Bad
253,254,2,2,5,2,2.75,Bad
254,255,4,5,3,3,3.75,Good
255,256,4,1,1,5,2.75,Bad
256,257,3,3,1,1,2.0,Bad
257,258,1,1,5,2,2.25,Bad
258,259,5,1,2,5,3.25,Bad
259,260,4,3,4,3,3.5,Bad
260,261,4,2,3,4,3.25,Bad
261,262,3,2,4,5,3.5,Bad
262,263,2,3,4,5,3.5,Bad
263,264,3,1,5,3,3.0,Bad
264,265,5,1,5,4,3.75,Good
265,266,4,4,2,1,2.75,Bad
266,267,5,1,4,5,3.75,Good
267,268,2,5,4,4,3.75,Good
268,269,1,5,3,1,2.5,Bad
269,270,3,3,5,1,3.0,Bad
270,271,2,4,1,2,2.25,Bad
271,272,3,5,1,4,3.25,Bad
272,273,2,5,2,4,3.25,Bad
273,274,3,2,2,5,3.0,Bad
274,275,1,1,1,2,1.25,Bad
275,276,4,5,2,1,3.0,Bad
276,277,3,5,3,1,3.0,Bad
277,278,3,4,2,3,3.0,Bad
278,279,5,3,5,2,3.75,Good
279,280,1,2,2,5,2.5,Bad
280,281,1,5,2,2,2.5,Bad
281,282,5,5,2,5,4.25,Good
282,283,1,2,3,2,2.0,Bad
283,284,1,1,4,3,2.25,Bad
284,285,2,2,1,5,2.5,Bad
285,286,5,2,4,3,3.5,Bad
286,287,2,3,1,5,2.75,Bad
287,288,5,1,2,1,2.25,Bad
288,289,2,3,2,4,2.75,Bad
289,290,3,1,1,5,2.5,Bad
290,291,1,4,2,1,2.0,Bad
291,292,5,1,4,3,3.25,Bad
292,293,4,3,4,4,3.75,Good
293,294,3,3,1,2,2.25,Bad
294,295,2,4,1,4,2.75,Bad
295,296,1,3,3,3,2.5,Bad
296,297,1,4,3,1,2.25,Bad
297,298,3,5,1,1,2.5,Bad
298,299,1,4,5,1,2.75,Bad
299,300,3,5,1,4,3.25,Bad
300,301,3,2,1,3,2.25,Bad
301,302,5,4,1,5,3.75,Good
302,303,5,2,4,3,3.5,Bad
303,304,4,3,1,3,2.75,Bad
304,305,4,2,2,3,2.75,Bad
305,306,5,2,2,2,2.75,Bad
306,307,1,2,5,3,2.75,Bad
307,308,1,1,3,5,2.5,Bad
308,309,4,5,4,1,3.5,Bad
309,310,5,4,3,5,4.25,Good
310,311,3,3,4,2,3.0,Bad
311,312,5,3,3,5,4.0,Good
312,313,4,3,1,4,3.0,Bad
313,314,5,1,3,2,2.75,Bad
314,315,4,4,4,3,3.75,Good
315,316,5,5,3,4,4.25,Good
316,317,2,2,4,5,3.25,Bad
317,318,2,3,2,1,2.0,Bad
318,319,2,5,5,4,4.0,Good
319,320,4,3,2,4,3.25,Bad
320,321,5,2,3,2,3.0,Bad
321,322,2,4,5,5,4.0,Good
322,323,2,5,1,3,2.75,Bad
323,324,3,5,4,4,4.0,Good
324,325,3,5,3,4,3.75,Good
325,326,3,5,5,2,3.75,Good
326,327,2,2,1,2,1.75,Bad
327,328,3,3,2,4,3.0,Bad
328,329,2,1,5,4,3.0,Bad
329,330,3,1,1,1,1.5,Bad
330,331,3,4,3,3,3.25,Bad
331,332,5,1,2,1,2.25,Bad
332,333,1,1,4,2,2.0,Bad
333,334,4,1,5,1,2.75,Bad
334,335,1,2,1,1,1.25,Bad
335,336,1,3,5,4,3.25,Bad
336,337,2,4,4,4,3.5,Bad
337,338,1,3,5,4,3.25,Bad
338,339,1,4,1,4,2.5,Bad
339,340,1,2,2,3,2.0,Bad
340,341,3,3,1,5,3.0,Bad
341,342,5,2,4,3,3.5,Bad
342,343,4,5,4,4,4.25,Good
343,344,3,4,3,4,3.5,Bad
344,345,3,5,3,2,3.25,Bad
345,346,3,4,2,3,3.0,Bad
346,347,5,3,1,3,3.0,Bad
347,348,2,3,5,2,3.0,Bad
348,349,4,2,4,1,2.75,Bad
349,350,4,4,2,1,2.75,Bad
350,351,5,2,3,4,3.5,Bad
351,352,2,2,5,2,2.75,Bad
352,353,5,3,4,4,4.0,Good
353,354,2,3,1,4,2.5,Bad
354,355,4,3,3,1,2.75,Bad
355,356,3,5,5,4,4.25,Good
356,357,3,4,3,5,3.75,Good
357,358,5,2,4,3,3.5,Bad
358,359,4,3,2,1,2.5,Bad
359,360,3,2,4,2,2.75,Bad
360,361,4,3,1,5,3.25,Bad
361,362,3,2,1,5,2.75,Bad
362,363,3,3,4,1,2.75,Bad
363,364,4,4,1,1,2.5,Bad
364,365,1,5,2,5,3.25,Bad
365,366,1,3,4,5,3.25,Bad
366,367,3,5,3,2,3.25,Bad
367,368,1,4,5,4,3.5,Bad
368,369,3,4,2,2,2.75,Bad
369,370,2,3,4,3,3.0,Bad
370,371,4,5,3,2,3.5,Bad
371,372,1,2,1,5,2.25,Bad
372,373,5,5,1,1,3.0,Bad
373,374,4,3,4,3,3.5,Bad
374,375,5,4,3,4,4.0,Good
375,376,4,5,3,5,4.25,Good
376,377,3,4,2,1,2.5,Bad
377,378,5,5,2,5,4.25,Good
378,379,4,2,5,1,3.0,Bad
379,380,1,5,2,3,2.75,Bad
380,381,2,5,2,4,3.25,Bad
381,382,4,1,4,3,3.0,Bad
382,383,1,1,1,4,1.75,Bad
383,384,5,1,1,5,3.0,Bad
384,385,5,3,2,3,3.25,Bad
385,386,4,2,5,1,3.0,Bad
386,387,2,1,2,3,2.0,Bad
387,388,5,5,3,4,4.25,Good
388,389,5,1,5,3,3.5,Bad
389,390,2,3,4,3,3.0,Bad
390,391,3,4,2,5,3.5,Bad
391,392,1,2,3,2,2.0,Bad
392,393,2,2,5,4,3.25,Bad
393,394,5,2,4,5,4.0,Good
394,395,2,5,2,2,2.75,Bad
395,396,4,3,2,4,3.25,Bad
396,397,5,3,4,2,3.5,Bad
397,398,5,4,4,3,4.0,Good
398,399,5,5,2,1,3.25,Bad
399,400,1,5,3,1,2.5,Bad
400,401,5,3,5,1,3.5,Bad
401,402,2,4,3,1,2.5,Bad
402,403,1,1,4,3,2.25,Bad
403,404,4,2,1,1,2.0,Bad
404,405,4,3,5,5,4.25,Good
405,406,5,3,1,4,3.25,Bad
406,407,5,4,5,3,4.25,Good
407,408,5,5,5,4,4.75,Good
408,409,2,2,1,3,2.0,Bad
409,410,5,4,1,2,3.0,Bad
410,411,5,5,3,5,4.5,Good
411,412,1,2,1,5,2.25,Bad
412,413,5,4,5,3,4.25,Good
413,414,5,4,1,1,2.75,Bad
414,415,4,2,5,3,3.5,Bad
415,416,4,1,1,2,2.0,Bad
416,417,3,5,2,4,3.5,Bad
417,418,2,2,3,5,3.0,Bad
418,419,1,4,2,3,2.5,Bad
419,420,4,5,5,4,4.5,Good
420,421,3,1,2,3,2.25,Bad
421,422,5,5,5,4,4.75,Good
422,423,2,3,1,4,2.5,Bad
423,424,4,2,3,4,3.25,Bad
424,425,4,5,5,3,4.25,Good
425,426,4,3,1,1,2.25,Bad
426,427,5,3,2,4,3.5,Bad
427,428,3,4,1,3,2.75,Bad
428,429,1,3,4,2,2.5,Bad
429,430,4,1,5,5,3.75,Good
430,431,2,3,5,1,2.75,Bad
431,432,5,5,4,1,3.75,Good
432,433,1,1,1,5,2.0,Bad
433,434,5,4,5,3,4.25,Good
434,435,3,3,1,5,3.0,Bad
435,436,2,3,1,3,2.25,Bad
436,437,2,3,3,5,3.25,Bad
437,438,1,4,4,5,3.5,Bad
438,439,2,1,5,5,3.25,Bad
439,440,3,5,3,4,3.75,Good
440,441,4,1,5,3,3.25,Bad
441,442,5,1,1,4,2.75,Bad
442,443,5,3,5,4,4.25,Good
443,444,3,3,1,5,3.0,Bad
444,445,2,1,1,4,2.0,Bad
445,446,3,4,3,4,3.5,Bad
446,447,3,3,1,5,3.0,Bad
447,448,2,5,2,1,2.5,Bad
448,449,1,2,5,4,3.0,Bad
449,450,5,3,2,2,3.0,Bad
450,451,4,2,1,5,3.0,Bad
451,452,3,4,3,2,3.0,Bad
452,453,4,2,2,2,2.5,Bad
453,454,3,1,2,2,2.0,Bad
454,455,2,3,4,2,2.75,Bad
455,456,1,1,4,2,2.0,Bad
456,457,1,4,4,1,2.5,Bad
457,458,3,4,1,5,3.25,Bad
458,459,2,3,2,3,2.5,Bad
459,460,2,5,3,5,3.75,Good
460,461,3,5,2,2,3.0,Bad
461,462,2,1,5,4,3.0,Bad
462,463,1,5,5,2,3.25,Bad
463,464,5,1,3,5,3.5,Bad
464,465,5,2,5,2,3.5,Bad
465,466,5,2,5,2,3.5,Bad
466,467,4,2,3,4,3.25,Bad
467,468,1,2,2,4,2.25,Bad
468,469,1,2,5,4,3.0,Bad
469,470,4,3,2,2,2.75,Bad
470,471,2,5,1,5,3.25,Bad
471,472,4,5,5,2,4.0,Good
472,473,4,3,4,2,3.25,Bad
473,474,3,2,2,1,2.0,Bad
474,475,4,1,4,4,3.25,Bad
475,476,5,3,4,2,3.5,Bad
476,477,5,5,5,1,4.0,Good
477,478,3,4,1,2,2.5,Bad
478,479,3,4,2,5,3.5,Bad
479,480,3,4,1,5,3.25,Bad
480,481,2,5,1,1,2.25,Bad
481,482,1,4,3,4,3.0,Bad
482,483,2,5,4,2,3.25,Bad
483,484,1,5,4,1,2.75,Bad
484,485,4,4,3,2,3.25,Bad
485,486,3,3,5,2,3.25,Bad
486,487,5,4,1,5,3.75,Good
487,488,3,2,2,2,2.25,Bad
488,489,2,5,1,1,2.25,Bad
489,490,3,2,5,5,3.75,Good
490,491,4,3,5,3,3.75,Good
491,492,2,4,2,4,3.0,Bad
492,493,1,2,4,4,2.75,Bad
493,494,5,5,3,2,3.75,Good
494,495,3,1,3,2,2.25,Bad
495,496,1,5,3,4,3.25,Bad
496,497,4,3,2,5,3.5,Bad
497,498,2,1,4,5,3.0,Bad
498,499,3,2,4,4,3.25,Bad
499,500,4,5,5,1,3.75,Good
