,Assignment_Marks,Submission_Time,Test_Marks,Class,Performance
179,54,0,15,2,Bad
180,24,0,77,8,Bad
181,48,1,49,5,Bad
182,20,0,21,11,Bad
183,91,1,52,11,Good
184,4,0,67,11,Bad
185,78,0,64,6,Good
186,24,0,92,10,Bad
187,24,1,34,10,Bad
188,72,1,2,2,Bad
189,67,0,25,9,Bad
190,59,0,10,10,Bad
191,59,1,96,11,Bad
192,76,0,41,5,Bad
193,18,0,88,11,Bad
194,43,1,87,9,Bad
195,55,0,52,12,Bad
196,33,0,7,2,Bad
197,70,0,35,11,Bad
198,44,1,10,4,Bad
199,62,0,9,1,Bad
200,49,0,77,3,Bad
201,73,0,6,7,Bad
202,75,1,29,4,Bad
203,57,0,44,12,Bad
204,45,1,51,10,Bad
205,65,1,39,1,Bad
206,38,1,63,7,Bad
207,4,1,60,11,Bad
208,54,0,97,2,Bad
209,77,1,15,3,Bad
210,80,0,36,5,Bad
211,41,0,94,3,Bad
212,67,1,93,6,Good
213,28,0,100,8,Bad
214,58,0,9,8,Bad
215,98,1,25,11,Bad
216,84,1,75,2,Good
217,64,1,41,6,Bad
218,43,0,32,4,Bad
219,98,1,63,7,Good
220,24,0,35,2,Bad
221,21,0,39,7,Bad
222,100,0,93,9,Good
223,28,1,80,1,Bad
224,0,0,53,1,Bad
225,20,0,83,3,Bad
226,87,1,51,2,Good
227,66,1,71,7,Good
228,88,0,23,4,Bad
229,58,0,54,2,Bad
230,6,1,43,5,Bad
231,29,1,29,6,Bad
232,88,1,53,5,Good
233,91,0,43,8,Bad
234,35,0,60,11,Bad
235,95,0,85,1,Good
236,21,0,92,11,Bad
237,6,1,7,10,Bad
238,13,0,27,1,Bad
239,47,1,43,5,Bad
240,24,1,1,10,Bad
241,95,0,45,11,Bad
242,3,1,62,5,Bad
243,40,1,46,9,Bad
244,40,1,78,2,Bad
245,35,0,59,4,Bad
246,40,0,32,5,Bad
247,60,0,47,4,Bad
248,35,0,58,1,Bad
249,21,0,43,9,Bad
250,3,1,30,6,Bad
251,4,1,1,3,Bad
252,63,1,1,1,Bad
253,6,0,35,6,Bad
254,74,0,91,9,Good
255,70,0,68,5,Good
256,44,0,32,4,Bad
257,98,0,43,8,Bad
258,85,1,84,4,Good
259,13,0,70,1,Bad
260,88,0,52,2,Good
261,4,0,80,11,Bad
262,79,1,6,6,Bad
263,44,0,74,4,Bad
264,1,1,77,12,Bad
265,99,1,7,12,Bad
266,11,1,20,7,Bad
267,96,0,14,3,Bad
268,89,0,24,6,Bad
269,87,0,98,3,Good
270,16,0,15,9,Bad
271,98,1,77,5,Good
272,38,0,35,6,Bad
273,77,1,35,3,Bad
274,96,1,87,9,Good
275,88,0,8,4,Bad
276,99,0,68,12,Good
277,48,0,3,2,Bad
278,75,0,77,10,Good
279,35,0,55,11,Bad
280,62,1,45,8,Bad
281,46,1,26,2,Bad
282,28,1,13,9,Bad
283,95,1,88,8,Good
284,47,1,9,1,Bad
285,43,0,12,10,Bad
286,33,0,99,10,Bad
287,29,1,32,8,Bad
288,36,1,21,3,Bad
289,78,0,7,4,Bad
290,98,0,65,7,Good
291,78,1,50,11,Good
292,30,1,49,9,Bad
293,55,1,42,1,Bad
294,72,0,17,1,Bad
295,70,0,79,9,Good
296,87,0,17,8,Bad
297,64,0,94,6,Good
298,55,1,78,9,Bad
299,59,1,19,9,Bad
300,6,0,5,4,Bad
301,25,0,59,7,Bad
302,34,0,64,11,Bad
303,89,0,44,2,Bad
304,39,1,3,11,Bad
305,80,1,20,12,Bad
306,21,0,63,2,Bad
307,41,1,100,1,Bad
308,7,0,19,12,Bad
309,1,1,68,1,Bad
310,83,1,68,5,Good
311,59,0,98,5,Bad
312,66,0,98,7,Good
313,34,1,55,1,Bad
314,15,0,32,4,Bad
315,35,1,50,1,Bad
316,78,1,20,8,Bad
317,28,1,65,10,Bad
318,21,0,41,5,Bad
319,1,0,41,6,Bad
320,7,1,86,7,Bad
321,16,0,12,8,Bad
322,24,0,5,4,Bad
323,8,0,36,7,Bad
324,32,1,93,3,Bad
325,94,1,44,1,Bad
326,40,1,64,2,Bad
327,32,1,86,3,Bad
328,56,1,39,9,Bad
329,57,1,70,9,Bad
330,91,0,87,7,Good
331,51,0,86,7,Bad
332,17,0,89,8,Bad
333,98,1,97,5,Very Good
334,33,0,95,10,Bad
335,66,1,45,4,Bad
336,52,0,75,2,Bad
337,39,1,99,12,Bad
338,7,1,77,3,Bad
339,74,1,9,12,Bad
340,67,0,62,2,Good
341,42,0,86,7,Bad
342,70,1,97,10,Good
343,68,1,19,11,Bad
344,51,1,5,11,Bad
345,62,0,37,6,Bad
346,4,1,56,4,Bad
347,33,0,39,4,Bad
348,42,1,40,11,Bad
349,0,1,51,8,Bad
350,17,0,12,4,Bad
351,18,0,87,4,Bad
352,37,1,30,12,Bad
353,33,0,87,8,Bad
354,76,0,15,1,Bad
355,81,0,18,8,Bad
356,26,0,22,5,Bad
357,30,1,51,3,Bad
358,9,0,33,4,Bad
359,9,0,19,3,Bad
360,59,1,79,4,Bad
361,4,0,94,2,Bad
362,0,1,89,8,Bad
363,86,1,92,11,Good
364,18,0,97,6,Bad
365,22,1,61,3,Bad
366,20,1,4,5,Bad
367,17,0,44,11,Bad
368,87,1,18,3,Bad
369,16,0,79,6,Bad
370,21,0,8,10,Bad
371,78,0,8,8,Bad
372,0,1,62,9,Bad
373,87,0,41,2,Bad
374,80,1,19,3,Bad
375,4,0,82,12,Bad
376,1,0,82,2,Bad
377,56,1,83,2,Bad
378,44,1,2,6,Bad
379,93,1,31,10,Bad
380,17,1,73,11,Bad
381,99,0,88,5,Good
382,86,0,100,1,Good
383,89,1,91,5,Good
384,23,0,34,1,Bad
385,63,1,14,5,Bad
386,73,0,24,9,Bad
387,24,1,37,11,Bad
388,37,1,42,7,Bad
389,84,1,85,1,Good
390,59,1,97,6,Bad
391,31,0,99,10,Bad
392,62,0,12,10,Bad
393,54,1,94,11,Bad
394,24,1,38,9,Bad
395,77,1,74,3,Good
396,61,0,49,9,Bad
397,24,0,82,6,Bad
398,100,0,60,10,Good
399,10,1,27,10,Bad
400,0,1,29,8,Bad
401,61,0,1,1,Bad
402,28,0,90,5,Bad
403,27,1,77,2,Bad
404,59,0,52,7,Bad
405,49,0,50,10,Bad
406,83,1,40,5,Bad
407,24,1,88,6,Bad
408,4,1,69,1,Bad
409,33,1,71,6,Bad
410,55,1,95,2,Bad
411,85,1,80,4,Good
412,97,0,48,11,Bad
413,29,1,11,9,Bad
414,3,1,14,9,Bad
415,48,0,89,1,Bad
416,97,1,95,2,Good
417,99,1,76,8,Good
418,17,1,9,1,Bad
419,65,1,28,3,Bad
420,19,0,50,4,Bad
421,39,0,26,12,Bad
422,85,0,66,4,Good
423,55,0,59,6,Bad
424,6,0,88,3,Bad
425,2,0,100,2,Bad
426,88,0,59,11,Good
427,74,1,60,6,Good
428,17,0,87,11,Bad
429,23,1,36,9,Bad
430,53,1,77,6,Bad
431,8,1,71,12,Bad
432,23,1,78,6,Bad
433,44,0,96,12,Bad
333,95,0,90,1,Very Good
434,82,0,66,8,Good
435,73,1,22,9,Bad
436,77,1,40,5,Bad
437,1,1,65,11,Bad
438,78,0,98,12,Good
439,38,0,48,10,Bad
440,6,1,41,10,Bad
441,76,0,43,11,Bad
442,30,0,28,7,Bad
443,3,0,45,1,Bad
444,42,0,30,6,Bad
445,40,0,83,4,Bad
446,68,0,39,3,Bad
447,83,1,92,2,Good
448,62,0,93,12,Good
449,86,0,47,4,Bad
450,33,0,74,4,Bad
451,69,1,30,11,Bad
452,79,1,50,7,Good
453,55,1,21,9,Bad
454,48,1,11,12,Bad
455,18,1,84,9,Bad
456,89,0,0,6,Bad
457,40,1,33,4,Bad
458,67,0,5,12,Bad
459,81,1,14,2,Bad
460,70,1,92,5,Good
461,94,0,73,6,Good
462,77,1,82,12,Good
463,42,1,95,9,Bad
464,6,1,87,9,Bad
465,17,1,2,4,Bad
466,28,0,78,8,Bad
467,24,0,54,3,Bad
468,59,1,36,6,Bad
469,63,0,51,8,Bad
470,66,1,15,1,Bad
471,44,0,48,2,Bad
472,100,0,92,7,Good
473,65,1,62,1,Good
474,1,1,55,6,Bad
475,31,1,58,7,Bad
476,22,1,57,3,Bad
477,26,0,44,10,Bad
478,86,0,42,2,Bad
479,99,1,89,9,Good
480,23,0,0,7,Bad
481,80,0,96,11,Good
482,44,0,62,8,Bad
483,30,0,94,3,Bad
484,45,1,59,7,Bad
485,71,1,70,5,Good
486,69,0,72,1,Good
487,39,1,2,5,Bad
488,76,1,47,9,Bad
489,58,1,47,8,Bad
490,45,0,14,4,Bad
491,19,1,36,10,Bad
492,51,1,5,5,Bad
493,86,0,53,5,Good
494,4,0,57,8,Bad
495,76,0,65,3,Good
496,99,0,88,3,Good
497,87,0,10,5,Bad
498,51,1,35,9,Bad
499,64,0,87,6,Good
500,58,1,58,12,Bad
501,54,0,49,8,Bad
502,96,0,57,4,Good
503,0,0,82,11,Bad
504,59,0,32,12,Bad
505,61,1,42,1,Bad
506,50,1,75,6,Bad
507,63,0,73,9,Good
508,93,0,68,11,Good
509,86,0,12,6,Bad
333,98,1,91,5,Very Good
510,54,1,44,7,Bad
511,8,1,76,10,Bad
512,2,0,41,7,Bad
513,75,1,48,4,Bad
514,29,0,30,10,Bad
515,28,0,18,12,Bad
516,54,0,37,12,Bad
517,63,0,18,10,Bad
518,72,1,16,6,Bad
519,9,0,12,10,Bad
520,90,1,20,8,Bad
521,5,0,3,5,Bad
522,20,1,37,9,Bad
523,54,1,91,10,Bad
524,56,1,61,2,Bad
525,17,0,33,8,Bad
526,75,1,58,8,Good
527,51,1,17,6,Bad
528,35,0,90,1,Bad
529,26,1,100,6,Bad
530,52,1,13,1,Bad
531,95,0,52,12,Good
532,42,0,97,8,Bad
533,19,1,90,11,Bad
534,22,1,83,10,Bad
535,26,1,30,6,Bad
536,100,1,13,3,Bad
537,79,0,68,10,Good
538,51,1,9,11,Bad
539,59,0,73,7,Bad
540,57,1,77,10,Bad
541,85,0,46,6,Bad
542,82,0,52,3,Good
543,47,1,38,11,Bad
544,52,0,3,9,Bad
545,76,1,48,9,Bad
546,72,0,59,4,Good
547,12,0,51,5,Bad
548,78,0,47,12,Bad
549,28,0,27,10,Bad
550,51,0,97,6,Bad
551,47,1,42,8,Bad
552,2,0,8,8,Bad
553,18,0,67,1,Bad
554,5,1,84,11,Bad
555,63,0,96,2,Good
556,0,1,37,4,Bad
557,76,1,83,4,Good
558,47,0,29,12,Bad
559,14,0,94,3,Bad
560,66,0,80,1,Good
561,22,1,12,3,Bad
562,21,0,10,12,Bad
563,83,1,36,7,Bad
333,98,0,97,8,Very Good
564,85,1,74,8,Good
565,99,0,77,2,Good
566,44,1,66,8,Bad
567,49,1,46,10,Bad
568,96,0,53,5,Good
569,29,1,57,7,Bad
570,63,1,35,9,Bad
571,23,1,83,12,Bad
572,5,1,82,6,Bad
573,53,1,87,9,Bad
574,66,1,95,2,Good
575,16,1,62,6,Bad
576,11,1,21,8,Bad
577,97,1,13,2,Bad
578,41,0,88,8,Bad
579,86,1,78,2,Good
580,88,1,49,2,Bad
581,55,1,31,6,Bad
582,20,1,24,5,Bad
583,62,0,59,12,Bad
584,29,0,15,5,Bad
585,36,0,17,11,Bad
586,83,0,86,5,Good
587,29,0,85,3,Bad
588,18,1,52,3,Bad
589,29,1,76,2,Bad
590,50,0,9,2,Bad
591,72,1,95,6,Good
592,22,1,100,12,Bad
593,19,0,72,3,Bad
594,88,0,33,3,Bad
595,19,1,56,1,Bad
596,64,0,37,8,Bad
597,93,0,77,11,Good
598,21,0,70,8,Bad
599,79,1,93,10,Good
600,100,0,33,4,Bad
601,64,1,70,2,Good
333,94,0,90,4,Very Good
602,10,1,48,4,Bad
603,88,0,56,5,Good
604,66,1,30,11,Bad
605,18,1,9,1,Bad
606,50,1,2,6,Bad
607,44,0,21,5,Bad
608,100,0,60,12,Good
609,15,1,8,11,Bad
610,34,1,89,5,Bad
611,57,0,11,12,Bad
612,31,0,18,5,Bad
613,92,0,84,7,Good
614,80,0,5,5,Bad
615,1,0,44,12,Bad
616,45,0,99,6,Bad
617,85,1,80,4,Good
618,22,1,23,6,Bad
619,45,1,62,9,Bad
620,86,0,73,9,Good
621,85,0,31,7,Bad
622,83,0,53,3,Good
623,94,1,77,11,Good
624,85,0,24,11,Bad
625,83,1,30,12,Bad
626,8,1,83,10,Bad
627,86,1,90,9,Good
628,23,0,25,12,Bad
629,76,1,93,1,Good
630,52,0,20,5,Bad
631,40,0,35,3,Bad
632,2,0,52,5,Bad
633,47,1,93,12,Bad
634,80,0,68,5,Good
635,83,0,72,12,Good
636,53,0,19,9,Bad
637,5,1,52,5,Bad
638,80,0,0,12,Bad
639,92,0,89,11,Good
640,71,1,47,11,Bad
641,27,1,28,11,Bad
642,67,0,8,9,Bad
643,68,0,70,4,Good
644,16,0,71,7,Bad
333,93,0,97,2,Very Good
645,81,1,15,11,Bad
646,43,0,78,2,Bad
647,68,0,12,10,Bad
648,8,0,73,11,Bad
649,45,0,96,4,Bad
650,99,1,17,8,Bad
651,91,0,89,8,Good
652,61,1,20,2,Bad
653,65,1,26,10,Bad
654,44,0,67,4,Bad
655,54,1,97,8,Bad
656,0,1,93,9,Bad
657,67,1,55,7,Bad
658,6,0,50,11,Bad
659,64,0,96,1,Good
660,40,1,36,7,Bad
661,83,0,63,1,Good
662,25,0,86,9,Bad
663,74,0,0,12,Bad
664,55,0,21,5,Bad
665,10,0,40,2,Bad
666,31,1,18,7,Bad
667,76,0,66,7,Good
668,13,1,92,2,Bad
669,23,1,0,3,Bad
670,63,1,73,3,Good
671,33,1,10,9,Bad
672,95,1,84,5,Good
673,84,0,30,9,Bad
674,60,1,98,2,Good
675,84,1,76,3,Good
676,24,1,81,8,Bad
677,61,1,44,2,Bad
678,47,1,64,5,Bad
679,71,1,69,7,Good
680,91,1,35,9,Bad
681,64,0,72,5,Good
682,14,0,43,7,Bad
683,22,0,76,8,Bad
684,63,0,21,1,Bad
685,16,1,62,2,Bad
686,89,0,47,11,Bad
687,33,1,98,3,Bad
688,60,1,79,8,Good
689,10,1,1,12,Bad
690,53,1,73,1,Bad
691,58,0,75,12,Bad
692,29,1,94,2,Bad
693,72,0,24,8,Bad
694,69,0,0,7,Bad
695,96,0,62,10,Good
696,72,1,62,9,Good
697,6,1,59,10,Bad
698,43,0,2,1,Bad
699,76,1,1,8,Bad
700,59,1,86,5,Bad
701,56,0,78,6,Bad
702,74,1,55,9,Good
703,82,1,98,3,Good
704,90,0,70,8,Good
705,4,1,68,11,Bad
706,27,0,26,1,Bad
707,64,1,91,12,Good
708,57,1,72,3,Bad
709,6,0,5,2,Bad
710,11,0,6,5,Bad
711,58,1,23,10,Bad
712,79,0,47,10,Bad
713,30,0,20,5,Bad
714,68,1,40,1,Bad
715,50,0,57,2,Bad
716,11,1,63,2,Bad
717,37,0,9,2,Bad
718,45,1,2,6,Bad
719,48,1,53,5,Bad
720,93,0,54,9,Good
721,29,1,83,11,Bad
722,89,0,92,9,Good
723,45,1,57,12,Bad
724,61,0,54,12,Bad
725,76,1,45,5,Bad
726,8,0,72,4,Bad
727,98,1,88,8,Good
728,53,0,36,2,Bad
729,73,1,63,11,Good
730,32,1,50,1,Bad
731,65,1,8,6,Bad
732,80,1,29,5,Bad
733,40,0,15,10,Bad
734,88,1,4,7,Bad
735,27,1,61,1,Bad
736,12,0,30,5,Bad
737,72,0,47,12,Bad
738,31,1,39,10,Bad
739,74,1,86,9,Good
740,91,0,99,10,Very Good
741,68,1,65,3,Good
742,13,0,4,5,Bad
743,7,1,28,7,Bad
744,39,1,54,9,Bad
745,57,1,41,10,Bad
746,41,0,50,8,Bad
747,91,0,50,3,Good
748,13,0,48,9,Bad
749,44,0,20,9,Bad
750,32,1,6,10,Bad
751,84,0,37,4,Bad
752,86,1,35,2,Bad
753,57,1,2,11,Bad
754,65,1,34,5,Bad
755,35,1,46,8,Bad
756,39,1,61,5,Bad
757,2,0,67,3,Bad
758,1,1,39,3,Bad
759,9,0,77,5,Bad
760,23,1,21,12,Bad
761,92,1,29,7,Bad
762,55,0,1,2,Bad
763,10,1,15,8,Bad
764,76,0,3,10,Bad
765,37,0,33,10,Bad
766,45,0,53,11,Bad
767,66,0,67,9,Good
768,59,0,59,8,Bad
769,46,1,15,4,Bad
770,99,1,20,1,Bad
771,26,1,50,11,Bad
772,6,0,21,3,Bad
773,57,1,83,4,Bad
774,24,1,0,11,Bad
775,79,1,72,12,Good
776,17,1,21,4,Bad
777,29,1,14,8,Bad
778,35,1,91,10,Bad
779,71,1,81,6,Good
780,42,1,94,1,Bad
781,32,0,88,3,Bad
782,56,0,93,8,Bad
783,25,0,14,7,Bad
784,3,1,30,8,Bad
785,81,0,99,2,Good
786,90,0,36,12,Bad
787,94,1,56,4,Good
788,11,1,97,10,Bad
789,76,1,28,4,Bad
790,2,0,18,4,Bad
791,12,1,40,5,Bad
792,40,1,66,2,Bad
793,31,0,36,10,Bad
794,21,1,34,12,Bad
795,41,1,75,5,Bad
796,6,0,20,8,Bad
797,53,0,63,10,Bad
798,68,1,2,7,Bad
799,91,1,25,3,Bad
800,84,0,34,4,Bad
801,83,0,43,6,Bad
802,83,1,33,5,Bad
803,34,0,43,12,Bad
804,0,1,26,12,Bad
805,15,0,55,5,Bad
806,29,0,30,10,Bad
807,10,1,18,11,Bad
808,35,0,95,11,Bad
809,10,1,31,11,Bad
810,81,1,96,3,Good
811,76,1,23,3,Bad
812,35,1,8,5,Bad
813,32,0,66,10,Bad
814,71,1,83,9,Good
815,6,1,21,7,Bad
816,50,0,53,12,Bad
817,18,0,66,4,Bad
818,2,0,80,8,Bad
819,88,1,2,2,Bad
820,29,0,57,10,Bad
821,47,1,39,6,Bad
822,29,1,54,11,Bad
823,35,1,71,1,Bad
824,9,0,1,6,Bad
825,75,1,61,4,Good
826,48,1,10,6,Bad
827,15,1,85,10,Bad
828,83,0,79,3,Good
829,67,1,82,11,Good
830,16,0,8,6,Bad
831,8,1,13,2,Bad
832,4,1,88,6,Bad
833,35,1,7,4,Bad
834,81,1,81,1,Good
835,13,0,38,4,Bad
836,89,0,43,2,Bad
837,70,0,3,5,Bad
838,49,1,77,9,Bad
839,24,0,34,2,Bad
840,97,1,36,7,Bad
841,52,1,43,2,Bad
842,87,0,68,12,Good
843,85,1,72,10,Good
844,24,1,76,3,Bad
845,63,1,26,2,Bad
846,59,1,82,4,Bad
847,18,1,52,7,Bad
848,10,1,50,4,Bad
849,44,1,74,6,Bad
850,55,1,1,11,Bad
851,66,0,84,9,Good
852,35,1,9,11,Bad
853,49,0,58,7,Bad
854,45,0,89,4,Bad
855,31,1,57,8,Bad
856,38,1,55,10,Bad
857,20,1,2,11,Bad
858,43,0,20,3,Bad
859,51,0,43,10,Bad
860,1,0,18,1,Bad
861,74,0,53,5,Good
862,40,0,24,2,Bad
863,31,1,96,11,Bad
864,66,0,79,2,Good
865,23,0,16,10,Bad
866,43,0,100,7,Bad
867,9,0,59,5,Bad
868,80,0,38,2,Bad
869,20,1,14,1,Bad
870,23,1,19,9,Bad
871,74,1,15,12,Bad
872,9,1,91,9,Bad
873,52,0,25,5,Bad
874,75,1,13,1,Bad
875,94,0,72,7,Good
876,19,0,72,6,Bad
877,38,1,49,3,Bad
878,46,1,56,7,Bad
879,30,0,0,12,Bad
880,74,1,52,6,Good
881,22,1,88,1,Bad
882,12,1,67,2,Bad
883,66,1,78,5,Good
884,48,0,86,3,Bad
885,40,1,21,9,Bad
886,96,0,76,2,Good
887,72,1,52,9,Good
888,67,0,97,1,Good
889,0,0,54,3,Bad
890,61,0,47,9,Bad
891,48,1,48,11,Bad
892,30,1,60,11,Bad
893,60,0,10,10,Bad
894,86,1,97,4,Good
895,56,1,96,2,Bad
896,37,1,61,8,Bad
897,85,0,13,12,Bad
898,1,1,25,4,Bad
899,33,1,41,12,Bad
900,37,1,38,10,Bad
901,53,0,34,3,Bad
902,44,0,21,7,Bad
903,98,1,8,5,Bad
904,23,0,81,6,Bad
905,62,1,86,5,Good
906,94,0,87,11,Good
907,59,0,37,4,Bad
908,54,0,21,10,Bad
909,64,1,95,9,Good
910,61,0,10,3,Bad
911,48,1,58,5,Bad
912,71,1,17,1,Bad
913,7,1,96,2,Bad
914,97,1,32,3,Bad
915,48,1,79,10,Bad
916,53,1,65,2,Bad
917,82,0,97,8,Good
918,2,0,62,1,Bad
919,65,0,61,4,Good
920,51,0,82,10,Bad
921,49,0,27,9,Bad
922,96,1,14,3,Bad
923,85,1,69,2,Good
924,58,1,82,4,Bad
925,10,1,47,5,Bad
926,72,1,83,9,Good
927,47,1,7,8,Bad
928,38,1,40,10,Bad
929,88,1,70,2,Good
930,88,0,15,3,Bad
931,65,1,12,3,Bad
932,24,1,64,11,Bad
933,95,0,83,11,Good
934,100,0,46,5,Bad
935,46,1,38,10,Bad
936,75,0,92,9,Good
937,35,1,24,11,Bad
938,95,0,5,7,Bad
939,100,0,67,4,Good
940,97,0,61,6,Good
941,21,0,56,12,Bad
942,28,0,86,12,Bad
943,18,0,23,10,Bad
944,70,1,60,5,Good
945,99,0,18,12,Bad
946,95,0,95,8,Good
947,6,0,93,10,Bad
948,81,1,7,10,Bad
949,89,1,15,11,Bad
950,98,0,1,5,Bad
951,72,1,34,4,Bad
952,37,0,78,12,Bad
953,100,1,49,5,Bad
954,39,1,60,2,Bad
955,77,1,90,4,Good
956,0,0,9,1,Bad
957,49,0,84,9,Bad
958,52,0,31,2,Bad
959,93,0,72,9,Good
960,100,1,46,8,Bad
961,60,1,88,1,Good
962,96,1,51,4,Good
963,20,0,21,10,Bad
964,20,1,10,9,Bad
965,72,1,93,1,Good
966,50,0,48,12,Bad
967,24,0,22,5,Bad
968,55,1,48,7,Bad
969,11,0,70,10,Bad
970,70,0,63,2,Good
971,63,1,43,2,Bad
972,75,1,20,7,Bad
973,96,1,58,12,Good
974,72,0,95,5,Good
975,65,0,6,6,Bad
976,90,1,48,8,Bad
977,100,1,67,5,Good
978,22,1,41,3,Bad
979,70,1,4,7,Bad
980,26,0,89,1,Bad
981,84,1,42,8,Bad
982,79,0,89,9,Good
983,2,1,70,4,Bad
984,69,1,95,3,Good
985,29,0,77,10,Bad
986,97,1,33,8,Bad
987,78,0,29,6,Bad
988,1,1,8,2,Bad
989,42,1,52,2,Bad
990,67,1,65,7,Good
991,11,1,11,4,Bad
992,95,0,38,8,Bad
993,42,0,24,1,Bad
994,13,1,27,1,Bad
995,91,1,74,9,Good
996,29,0,55,11,Bad
997,92,1,77,6,Good
998,43,1,91,2,Bad
999,43,0,58,2,Bad
